RowNumber,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,NewAGT,CreditsScore,AgeScore,BalanceScore,EstSalaryScore,NewEstimatedSalary,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,HasCrCard,IsActiveMember,Exited
48,-0.11194029850746269,0.16666666666666666,1.0,0.3184261193454556,0.0,0.17714777145306684,-0.16666666666666666,0.0,0.25,0.7,0.1,0.1771477714530668,0,1,0,1,0,1,1,1
49,-0.7611940298507462,0.08333333333333333,-0.75,0.04851640779090381,0.0,-0.09468595105687515,0.3333333333333333,-0.6,0.25,0.1,-0.1,-0.09468595105687512,0,1,0,0,1,0,1,0
50,0.9253731343283582,0.0,-0.75,0.05147651002505082,1.0,0.9544556518442449,0.25,0.8,0.0,0.1,0.9,0.9544556518442449,0,1,0,1,0,1,0,0
51,0.34328358208955223,0.5833333333333334,1.25,0.15014253678818557,1.0,0.9947056311667892,0.16666666666666666,0.4,0.5,0.3,0.9,0.9947056311667892,0,1,0,0,1,1,0,0
52,-0.5,-0.08333333333333333,0.0,0.38272334106106154,1.0,-0.139952084204952,-0.08333333333333333,-0.4,0.0,0.7,-0.1,-0.139952084204952,0,1,0,0,1,0,0,0
53,1.0149253731343284,-0.3333333333333333,0.0,-0.761480032314815,1.0,0.17059593380215796,-0.3333333333333333,1.0,-0.25,-0.9,0.1,0.170595933802158,1,0,0,1,0,0,0,0
54,0.022388059701492536,0.3333333333333333,0.75,0.2222068931586728,0.0,0.6489433026070366,0.08333333333333333,0.2,0.5,0.5,0.7,0.6489433026070365,0,1,0,0,1,0,0,1
55,-0.3805970149253731,0.4166666666666667,-1.0,0.010162464048514785,0.0,-0.6116629489596539,0.75,-0.2,0.5,0.1,-0.7,-0.6116629489596539,0,1,0,0,1,1,0,1
56,-0.2462686567164179,0.5,-1.0,0.21946450540972307,0.0,0.13433371139303046,0.8333333333333334,-0.2,0.5,0.5,0.1,0.13433371139303038,1,0,0,0,1,1,1,0
57,0.029850746268656716,0.6666666666666666,0.0,0.2402447615340887,0.0,-0.133010049306997,0.6666666666666666,0.2,0.75,0.5,-0.1,-0.13301004930699697,1,0,0,0,1,1,0,0
58,0.5447761194029851,-1.5,-1.25,-0.16695105082689207,0.0,-0.554754626890399,-1.0833333333333333,0.6,-0.75,-0.1,-0.5,-0.5547546268903989,0,1,0,0,1,0,0,0
59,-1.0522388059701493,2.4166666666666665,-0.25,-0.761480032314815,0.0,-1.0016736859905695,2.5,-0.8,1.0,-0.9,-0.9,-1.0016736859905695,0,0,1,1,0,1,0,1
60,-0.2835820895522388,1.1666666666666667,-0.25,-0.4427353713728094,0.0,-0.5429487970294595,1.25,-0.2,0.75,-0.3,-0.5,-0.5429487970294594,1,0,0,0,1,1,1,0
61,0.6716417910447762,-0.16666666666666666,0.0,0.3106952573809832,0.0,-0.15941620840639248,-0.16666666666666666,0.8,-0.25,0.7,-0.1,-0.15941620840639245,0,1,0,0,1,0,0,0
62,0.26119402985074625,-0.8333333333333334,1.0,0.4319062105740141,1.0,0.26732328017247364,-1.1666666666666667,0.4,-0.75,0.9,0.3,0.26732328017247364,0,1,0,1,0,0,0,0
63,-0.7238805970149254,-0.3333333333333333,-1.0,-0.3220971819801662,1.0,0.798935876510042,0.0,-0.6,-0.25,-0.3,0.7,0.798935876510042,0,0,1,0,1,0,0,0
64,0.23880597014925373,1.5833333333333333,0.75,-0.14486654470268304,0.0,-0.008086047691423936,1.3333333333333333,0.4,1.0,-0.1,-0.1,-0.008086047691423936,0,0,1,0,1,1,1,0
65,-0.3656716417910448,-0.9166666666666666,-0.25,0.09375926402946178,0.0,-0.0747386287016298,-0.8333333333333334,-0.2,-0.75,0.1,-0.1,-0.0747386287016298,0,1,0,0,1,1,1,0
66,0.7388059701492538,-0.08333333333333333,0.25,0.5690262247634518,1.0,-0.7362374094622832,-0.16666666666666666,0.8,0.0,0.9,-0.7,-0.7362374094622832,0,1,0,1,0,1,1,0
67,-0.5298507462686567,-0.25,-1.0,0.03474108976636929,0.0,0.1040552588010684,0.08333333333333333,-0.4,-0.25,0.1,0.1,0.10405525880106849,0,1,0,1,0,1,0,0
68,0.6194029850746269,0.5,1.25,0.20354596494130864,1.0,0.9806195003843912,0.08333333333333333,0.6,0.5,0.5,0.9,0.9806195003843909,0,1,0,0,1,1,1,0
69,0.06716417910447761,-0.16666666666666666,0.0,0.4193451267366235,1.0,0.13683772269238653,-0.16666666666666666,0.2,-0.25,0.9,0.1,0.13683772269238653,0,1,0,1,0,0,1,0
70,0.17164179104477612,-1.3333333333333333,0.75,0.009203078807159544,0.0,-0.8333584088510436,-1.5833333333333333,0.2,-0.75,0.1,-0.9,-0.8333584088510436,1,0,0,1,0,1,0,0
71,0.6417910447761194,1.75,-0.75,0.2863184425713216,3.0,-0.7299814468273033,2.0,0.8,1.0,0.7,-0.7,-0.7299814468273033,0,1,0,0,1,1,0,1
72,1.2014925373134329,-0.6666666666666666,0.25,-0.761480032314815,0.0,-0.6732660381143633,-0.75,1.0,-0.5,-0.9,-0.7,-0.6732660381143635,1,0,0,0,1,1,0,0
73,0.03731343283582089,0.0,-1.25,0.5202635073858404,0.0,-0.5690879469681386,0.4166666666666667,0.2,0.0,0.9,-0.5,-0.5690879469681386,0,0,1,1,0,0,1,0
74,-0.3582089552238806,-1.0,0.0,0.47461836115754213,1.0,-0.4245222554854336,-1.0,-0.2,-0.75,0.9,-0.5,-0.4245222554854336,0,1,0,1,0,1,1,0
75,-0.9925373134328358,-0.08333333333333333,1.0,-0.761480032314815,1.0,0.46112680254370186,-0.4166666666666667,-0.8,0.0,-0.9,0.5,0.4611268025437018,1,0,0,0,1,0,1,0
76,0.6194029850746269,-1.3333333333333333,-1.0,0.638647305981061,1.0,-0.7908219285465902,-1.0,0.6,-0.75,0.9,-0.7,-0.7908219285465902,1,0,0,1,0,1,0,0
77,0.08955223880597014,1.5,0.75,-0.761480032314815,1.0,0.3960692633146618,1.25,0.2,1.0,-0.9,0.3,0.39606926331466186,1,0,0,0,1,1,1,0
78,0.19402985074626866,-0.4166666666666667,1.0,-0.761480032314815,0.0,0.48804360268742153,-0.75,0.2,-0.5,-0.9,0.5,0.4880436026874214,1,0,0,1,0,1,1,0
79,0.7835820895522388,-0.3333333333333333,0.0,-0.15625710960400568,0.0,0.9558838001949209,-0.3333333333333333,0.8,-0.25,-0.1,0.9,0.9558838001949209,0,0,1,0,1,0,1,0
80,-1.7611940298507462,0.3333333333333333,1.25,0.19578729130276457,1.0,-0.0192334514605779,-0.08333333333333333,-0.8,0.5,0.5,-0.1,-0.019233451460577863,0,1,0,1,0,1,0,0
81,0.09701492537313433,-0.25,-1.0,-0.004332353735664175,1.0,0.7238798758615766,0.08333333333333333,0.2,-0.25,-0.1,0.7,0.7238798758615765,1,0,0,1,0,0,0,0
82,0.9328358208955224,-0.4166666666666667,-0.75,-0.761480032314815,0.0,0.3685913068799963,-0.16666666666666666,0.8,-0.5,-0.9,0.3,0.3685913068799962,1,0,0,1,0,1,0,1
83,-0.8134328358208955,-0.08333333333333333,-0.5,-0.761480032314815,1.0,-0.7539103260355149,0.08333333333333333,-0.6,0.0,-0.9,-0.7,-0.7539103260355149,1,0,0,1,0,0,0,0
84,-1.0895522388059702,-0.25,-0.25,-0.053985358054542944,0.0,0.6000985148949466,-0.16666666666666666,-0.8,-0.25,-0.1,0.5,0.6000985148949466,1,0,0,1,0,1,1,0
85,-1.1865671641791045,0.75,-0.25,-0.761480032314815,1.0,-0.9989847909213836,0.8333333333333334,-0.8,0.75,-0.9,-0.9,-0.9989847909213836,1,0,0,1,0,1,0,0
86,0.0,3.1666666666666665,1.25,-0.761480032314815,1.0,0.14719385645157587,2.75,0.0,1.0,-0.9,0.1,0.14719385645157587,0,0,1,1,0,1,1,0
87,0.7313432835820896,-1.25,-0.5,0.19180873339838914,0.0,0.28916101112313725,-1.0833333333333333,0.8,-0.75,0.3,0.3,0.28916101112313725,0,0,1,0,1,1,0,1
88,0.5746268656716418,-0.5833333333333334,1.0,-0.761480032314815,1.0,0.5252308537877098,-0.9166666666666666,0.6,-0.5,-0.9,0.5,0.5252308537877098,1,0,0,0,1,1,0,0
89,-0.04477611940298507,0.75,-0.25,-0.761480032314815,2.0,-0.07056375193100752,0.8333333333333334,0.0,0.75,-0.9,-0.1,-0.07056375193100747,1,0,0,1,0,1,0,1
90,-0.12686567164179105,-0.75,-0.5,-0.12201780511208347,1.0,0.5752583284408334,-0.5833333333333334,0.0,-0.75,-0.1,0.5,0.5752583284408334,0,1,0,1,0,1,1,0
91,-0.03731343283582089,0.5833333333333334,0.0,-0.761480032314815,2.0,0.7522533852901788,0.5833333333333334,0.0,0.5,-0.9,0.7,0.7522533852901789,0,0,1,1,0,1,1,1
92,1.164179104477612,0.6666666666666666,0.5,0.1678729098939364,1.0,0.4770849450208369,0.5,1.0,0.75,0.3,0.5,0.4770849450208368,1,0,0,0,1,1,0,0
93,-0.9552238805970149,-0.08333333333333333,1.25,-0.761480032314815,1.0,0.0957518532527005,-0.5,-0.6,0.0,-0.9,0.1,0.0957518532527005,1,0,0,1,0,1,0,0
94,0.8731343283582089,-0.6666666666666666,0.75,-0.761480032314815,1.0,0.7327932250618131,-0.9166666666666666,0.8,-0.5,-0.9,0.7,0.7327932250618132,1,0,0,0,1,1,1,0
95,0.582089552238806,0.4166666666666667,-0.25,-0.761480032314815,1.0,-0.14444560342660054,0.5,0.6,0.5,-0.9,-0.1,-0.14444560342660054,0,0,1,0,1,0,1,0
96,-1.0223880597014925,-0.16666666666666666,1.25,0.6194984591549136,0.0,0.21429711070830487,-0.5833333333333334,-0.8,-0.25,0.9,0.3,0.21429711070830487,0,0,1,0,1,0,1,0
97,0.9029850746268657,0.3333333333333333,1.0,0.04409834709345282,0.0,-0.3618260245250505,0.0,0.8,0.5,0.1,-0.3,-0.3618260245250505,0,0,1,0,1,0,1,0
98,1.208955223880597,-0.6666666666666666,0.75,-0.0008785355296879355,1.0,0.9867468879952729,-0.9166666666666666,1.0,-0.5,-0.1,0.9,0.986746887995273,0,1,0,0,1,1,1,0
99,0.43283582089552236,-1.25,0.75,-0.761480032314815,1.0,-0.005578783901339759,-1.5,0.6,-0.75,-0.9,-0.1,-0.005578783901339834,0,0,1,0,1,0,0,0
100,-1.7835820895522387,-0.25,1.0,-0.761480032314815,1.0,-0.9519606865347264,-0.5833333333333334,-0.8,-0.25,-0.9,-0.9,-0.9519606865347264,1,0,0,0,1,0,0,0
101,0.09701492537313433,0.25,0.25,-0.761480032314815,0.0,0.6266544918485087,0.16666666666666666,0.2,0.25,-0.9,0.7,0.6266544918485086,1,0,0,1,0,1,1,0
102,-0.21641791044776118,0.5833333333333334,0.25,-0.761480032314815,1.0,0.6806702316167255,0.5,-0.2,0.5,-0.9,0.7,0.6806702316167255,1,0,0,1,0,0,0,0
103,0.6417910447761194,-0.5,1.0,-0.11378805655468678,0.0,-0.5917825059450067,-0.8333333333333334,0.8,-0.5,-0.1,-0.5,-0.5917825059450067,1,0,0,0,1,1,0,0
104,-0.9253731343283582,-0.08333333333333333,0.5,-0.761480032314815,1.0,-0.403078685754891,-0.25,-0.6,0.0,-0.9,-0.5,-0.403078685754891,0,0,1,0,1,1,0,0
105,0.13432835820895522,2.3333333333333335,-1.0,-0.761480032314815,0.0,0.78732397640877,2.6666666666666665,0.2,1.0,-0.9,0.7,0.78732397640877,0,0,1,1,0,1,1,1
106,-0.22388059701492538,0.75,-0.25,0.07736134431134531,1.0,-0.7034458995811275,0.8333333333333334,-0.2,0.75,0.1,-0.7,-0.7034458995811275,0,0,1,1,0,1,1,1
107,-0.5223880597014925,-0.4166666666666667,-1.0,-0.06471047968948707,0.0,-0.9161797311130341,-0.08333333333333333,-0.4,-0.5,-0.1,-0.9,-0.916179731113034,0,1,0,0,1,1,1,0
108,0.9925373134328358,-0.08333333333333333,-0.75,0.02043421622471956,0.0,-0.6425437221783404,0.16666666666666666,1.0,0.0,0.1,-0.7,-0.6425437221783403,0,1,0,1,0,0,1,0
109,-0.35074626865671643,-0.3333333333333333,0.0,0.4143881463041339,0.0,-0.2879585043167286,-0.3333333333333333,-0.2,-0.25,0.9,-0.3,-0.28795850431672854,0,0,1,0,1,0,0,0
110,-1.291044776119403,-0.16666666666666666,1.0,-0.03419386570048134,0.0,-0.007562599964857784,-0.5,-0.8,-0.25,-0.1,-0.1,-0.007562599964857857,0,1,0,0,1,1,0,1
111,0.2462686567164179,-0.5833333333333334,-0.5,-0.052189820707930185,0.0,-0.37719780390809626,-0.4166666666666667,0.4,-0.5,-0.1,-0.3,-0.37719780390809626,0,1,0,0,1,0,1,0
112,-0.8507462686567164,0.16666666666666666,0.5,0.08505326993211756,1.0,-0.741594871533604,0.0,-0.6,0.25,0.1,-0.7,-0.7415948715336039,0,1,0,0,1,1,0,0
113,-0.6716417910447762,0.4166666666666667,-0.75,0.02381470562243935,0.0,-0.1361625259452836,0.6666666666666666,-0.6,0.5,0.1,-0.1,-0.1361625259452836,1,0,0,0,1,0,0,0
114,0.17164179104477612,-0.08333333333333333,1.0,0.07044587362500646,0.0,-0.7846592717393749,-0.4166666666666667,0.2,0.0,0.1,-0.7,-0.7846592717393748,0,0,1,0,1,0,1,0
115,0.5149253731343284,-0.75,1.0,0.44872373402826476,1.0,0.011251839213629143,-1.0833333333333333,0.6,-0.75,0.9,0.1,0.011251839213629218,0,1,0,0,1,0,1,1
116,-0.1791044776119403,-0.5833333333333334,1.0,0.2753962889355603,1.0,-0.26451678723539673,-0.9166666666666666,0.0,-0.5,0.5,-0.3,-0.26451678723539673,0,1,0,1,0,1,1,0
117,0.11940298507462686,0.0,0.25,0.5536157369889937,0.0,0.15697714528126486,-0.08333333333333333,0.2,0.0,0.9,0.1,0.15697714528126486,0,1,0,1,0,1,0,0
118,-1.0895522388059702,0.3333333333333333,-1.0,-0.761480032314815,1.0,-0.6955005729338647,0.6666666666666666,-0.8,0.5,-0.9,-0.7,-0.6955005729338648,1,0,0,1,0,1,0,0
119,-0.9552238805970149,-0.5,0.75,0.08320069906797202,0.0,1.0116412487480773,-0.75,-0.6,-0.5,0.1,0.9,1.0116412487480773,0,1,0,1,0,1,0,1
120,0.35074626865671643,-0.25,-0.25,0.6892224043952159,1.0,0.2097913946464257,-0.16666666666666666,0.4,-0.25,0.9,0.3,0.20979139464642563,0,1,0,0,1,1,0,0
121,1.3134328358208955,-0.25,0.75,0.2525362679898442,1.0,-0.6308017224479414,-0.5,1.0,-0.25,0.5,-0.7,-0.6308017224479414,1,0,0,0,1,0,0,0
122,0.16417910447761194,0.16666666666666666,0.25,0.18014819940171206,0.0,-0.0006399783709366222,0.08333333333333333,0.2,0.25,0.3,-0.1,-0.0006399783709366961,0,0,1,0,1,0,0,0
123,0.029850746268656716,0.16666666666666666,0.25,-0.761480032314815,1.0,0.4154646786494694,0.08333333333333333,0.2,0.25,-0.9,0.5,0.4154646786494694,1,0,0,1,0,1,0,0
124,0.23880597014925373,0.9166666666666666,1.25,0.22865019212774496,0.0,0.9954191463202832,0.5,0.4,0.75,0.5,0.9,0.9954191463202832,0,1,0,1,0,1,1,0
125,-0.20149253731343283,-0.75,-0.5,-0.761480032314815,0.0,0.8482139569713265,-0.5833333333333334,-0.2,-0.75,-0.9,0.9,0.8482139569713265,1,0,0,1,0,0,0,0
126,-1.6417910447761195,0.4166666666666667,1.0,0.4340572672922805,0.0,0.10236528494677426,0.08333333333333333,-0.8,0.5,0.9,0.1,0.10236528494677426,1,0,0,0,1,1,0,1
127,-0.7686567164179104,1.25,-1.0,-0.761480032314815,0.0,-0.9305972093883652,1.5833333333333333,-0.6,1.0,-0.9,-0.9,-0.9305972093883652,1,0,0,1,0,0,1,1
128,-0.20149253731343283,1.5833333333333333,-1.25,0.40196643420807693,0.0,-0.5424527921934124,2.0,-0.2,1.0,0.7,-0.5,-0.5424527921934125,0,1,0,0,1,1,0,1
129,1.3134328358208955,0.3333333333333333,0.5,-0.761480032314815,1.0,0.7235252527318699,0.16666666666666666,1.0,0.5,-0.9,0.7,0.7235252527318697,1,0,0,1,0,1,0,0
130,0.8805970149253731,-1.0833333333333333,1.0,0.03626117402555727,0.0,0.6816248376454459,-1.4166666666666667,0.8,-0.75,0.1,0.7,0.6816248376454459,1,0,0,0,1,1,0,0
131,0.7910447761194029,-0.25,-0.5,-0.761480032314815,1.0,0.24426454387438484,-0.08333333333333333,0.8,-0.25,-0.9,0.3,0.24426454387438484,1,0,0,1,0,1,1,0
132,1.0671641791044777,-0.3333333333333333,1.0,0.2637321511726654,0.0,0.1498310165901168,-0.6666666666666666,1.0,-0.25,0.5,0.1,0.14983101659011688,0,1,0,1,0,1,1,0
133,0.26119402985074625,0.08333333333333333,1.0,0.19877379504159362,0.0,-0.6564444609892324,-0.25,0.4,0.25,0.5,-0.7,-0.6564444609892324,1,0,0,0,1,1,1,0
134,0.2537313432835821,-1.0,-1.0,-0.761480032314815,1.0,-0.8510807226272096,-0.6666666666666666,0.4,-0.75,-0.9,-0.9,-0.8510807226272096,1,0,0,0,1,0,1,0
135,1.0223880597014925,0.16666666666666666,0.5,0.21646037455352468,1.0,0.24614407695393073,0.0,1.0,0.25,0.5,0.3,0.24614407695393073,0,1,0,0,1,1,1,0
136,-0.4701492537313433,1.0833333333333333,0.0,0.37366754661236556,1.0,-0.66323047797257,1.0833333333333333,-0.4,0.75,0.7,-0.7,-0.66323047797257,0,1,0,1,0,1,1,0
137,-1.4253731343283582,-0.25,0.0,-0.2627193361799953,0.0,0.6869907358645928,-0.25,-0.8,-0.25,-0.3,0.7,0.6869907358645927,0,1,0,1,0,0,1,0
138,-0.11194029850746269,0.25,-0.75,0.2841065135410732,0.0,-0.07143867193688742,0.5,0.0,0.25,0.5,-0.1,-0.07143867193688747,1,0,0,0,1,0,1,0
139,-0.5074626865671642,0.9166666666666666,-0.75,0.9083657828978416,0.0,-0.2544328462940218,1.1666666666666667,-0.4,0.75,0.9,-0.3,-0.2544328462940218,0,0,1,1,0,1,0,1
140,-0.5447761194029851,-0.16666666666666666,-1.0,0.25298297831535516,1.0,-0.931056826984391,0.16666666666666666,-0.4,-0.25,0.5,-0.9,-0.931056826984391,0,0,1,1,0,0,1,1
